,week,release_id,release_date,zero_release,non_zero_release,operator_kept,stanford_kept,strict_qc_kept,pass_all_qc,fail_all_qc,release_rate_kgh,operator_quantification,operator_lower,operator_upper,operator_detected,qc_summary,windspeed_20m_avg,windspeed_20m_std,winddir_20m_avg,winddir_20m_std,winddir_20m_cv,operator_windspeed,true_positive,false_positive,true_negative,false_negative,qc_flag
0,3,1,2024-09-09,False,True,False,False,False,False,False,56.7,,,,False,not_measured,3.32510606060606,0.9342103679397066,209.37825,16.235471522149506,0.0450985320059708,,False,False,False,False,not able to fly
1,3,2,2024-09-09,False,True,False,False,False,False,False,31.36,,,,False,not_measured,3.665751937984496,1.4656379318779575,203.16287596899227,43.32016085596687,0.1203337801554635,,False,False,False,False,not able to fly
2,3,3,2024-09-09,False,True,False,False,False,False,False,5.57,,,,False,not_measured,2.65220987654321,0.583478319620417,195.56804938271608,15.724319086048055,0.0436786641279112,,False,False,False,False,not able to fly
3,3,4,2024-09-09,True,False,False,False,False,False,False,0.0,,,,False,not_measured,2.545805369127517,0.5945058097351241,226.7112483221476,23.113998230249013,0.0642055506395806,,False,False,False,False,not able to fly
4,3,5,2024-09-09,False,True,False,False,False,False,False,0.18,,,,False,not_measured,5.05122435897436,1.3532700828290822,259.16267948717945,16.782825590417104,0.0466189599733808,,False,False,False,False,not able to fly
5,3,6,2024-09-09,False,True,False,False,False,False,False,13.38,,,,False,not_measured,4.017156862745098,1.158546844552119,270.231,30.49719997285666,0.0847144443690462,,False,False,False,False,not able to fly
6,3,7,2024-09-10,False,True,False,False,False,False,False,0.92,,,,False,not_measured,0.9421666666666668,0.2869655067510671,171.35273684210526,27.43851166342531,0.0762180879539592,,False,False,False,False,not able to fly
7,3,8,2024-09-10,False,True,False,False,False,False,False,2.02,,,,False,not_measured,0.9199272727272728,0.3736050927174579,230.20847272727272,56.673763515336894,0.1574271208759358,,False,False,False,False,not able to fly
8,3,9,2024-09-10,False,True,False,False,False,False,False,79.19999999999997,,,,False,not_measured,1.5387089552238806,0.5648104189840032,270.7512164179104,33.95970658084065,0.0943325182801129,,False,False,False,False,not able to fly
9,3,10,2024-09-10,False,True,False,False,False,False,False,17.8,,,,False,not_measured,2.7916965517241383,0.8571267273420762,298.62366896551725,24.60842282700867,0.068356730075024,,False,False,False,False,not able to fly
10,3,11,2024-09-10,False,True,False,False,False,False,False,6.77,,,,False,not_measured,2.6925246913580247,1.0440375055768571,257.6336913580247,32.585024089464184,0.0905139558040671,,False,False,False,False,not able to fly
11,3,12,2024-09-10,False,True,False,False,False,False,False,1.85,,,,False,not_measured,3.178636363636364,0.8974163741137827,289.6772027972028,18.352046323875367,0.0509779064552093,,False,False,False,False,not able to fly
12,3,13,2024-09-10,False,True,False,False,False,False,False,28.16,,,,False,not_measured,4.597331034482759,1.362056100243572,306.64595172413794,19.06789455336061,0.052966373759335,,False,False,False,False,not able to fly
13,3,14,2024-09-10,False,True,False,False,False,False,False,4.47,,,,False,not_measured,4.797862068965518,1.2361782538482693,300.1787931034483,17.29821498441926,0.0480505971789423,,False,False,False,False,not able to fly
14,3,15,2024-09-10,False,True,False,False,False,False,False,0.45,,,,False,not_measured,4.765207547169811,1.1433138215845309,305.4722327044025,20.95714322036033,0.0582142867232231,,False,False,False,False,not able to fly
15,3,16,2024-09-11,False,True,False,False,False,False,False,53.99999999999999,,,,False,not_measured,2.9925135135135137,0.6001178284132275,229.3045135135135,10.942223721537143,0.0303950658931587,,False,False,False,False,"not able to fly, transit from UK"
16,3,17,2024-09-11,False,True,False,False,False,False,False,31.36,,,,False,not_measured,2.725804054054054,0.7482165340007934,245.59697972972972,17.333268066439928,0.048147966851222,,False,False,False,False,"not able to fly, transit from UK"
17,3,18,2024-09-11,False,True,False,False,False,False,False,1.01,,,,False,not_measured,3.358966666666667,0.7697122744627455,232.3349933333333,15.087861513629464,0.0419107264267485,,False,False,False,False,"not able to fly, transit from UK"
18,3,19,2024-09-11,False,True,False,False,False,False,False,20.18,,,,False,not_measured,4.463736842105264,1.1527513056481025,250.80505263157897,18.756642911405297,0.0521017858650147,,False,False,False,False,"not able to fly, transit from UK"
19,3,20,2024-09-11,False,True,False,False,False,False,False,0.02,,,,False,not_measured,5.358420000000001,1.3050420460196654,248.12368666666663,14.553073940101172,0.0404252053891699,,False,False,False,False,"not able to fly, transit from UK"
20,3,21,2024-09-11,False,True,False,False,False,False,False,0.62,,,,False,not_measured,5.293714285714286,1.367266415902473,244.5789047619048,13.261087530911077,0.0368363542525307,,False,False,False,False,"not able to fly, transit from UK"
21,3,22,2024-09-11,False,True,False,False,False,False,False,0.7,,,,False,not_measured,4.030337931034484,1.014857928074785,237.51524827586204,17.278645607634335,0.0479962377989842,,False,False,False,False,"not able to fly, transit from UK"
22,3,23,2024-09-11,False,True,False,False,False,False,False,44.07,,,,False,not_measured,4.310751677852349,1.310337737080315,247.95339597315436,15.20939953217062,0.0422483320338072,,False,False,False,False,"not able to fly, transit from UK"
