,week,release_id,release_date,zero_release,non_zero_release,operator_kept,stanford_kept,strict_qc_kept,pass_all_qc,fail_all_qc,release_rate_kgh,operator_quantification,operator_lower,operator_upper,operator_detected,qc_summary,windspeed_20m_avg,windspeed_20m_std,winddir_20m_avg,winddir_20m_std,winddir_20m_cv,operator_windspeed,true_positive,false_positive,true_negative,false_negative,qc_flag
0,2,1,2024-06-24,False,True,False,False,True,False,False,0.59,0.0,0.0,0.0,False,not_measured,2.3708581560283686,0.8241538481684479,146.06929078014187,39.224809143484585,0.108957803176346,1.68,False,False,False,True,
1,2,2,2024-06-24,False,True,True,True,True,True,True,136.6,105.55,83.47,127.63,True,pass_all,2.418187050359712,0.8952530981159262,122.19275539568346,43.157703441227056,0.119882509558964,2.14,True,False,False,False,
2,2,3,2024-06-24,False,True,True,True,True,True,True,24.83,4.76,2.89,6.63,True,pass_all,2.6951044776119404,1.0977308945374116,94.59223134328356,38.81467753270214,0.1078185487019503,2.26,True,False,False,False,
3,2,4,2024-06-24,False,True,True,True,True,True,True,0.89,0.63,0.53,0.73,True,pass_all,3.169401360544218,1.0509779898107423,94.17029931972787,28.067623860017783,0.0779656218333827,2.3,True,False,False,False,
4,2,5,2024-06-24,False,True,True,True,True,True,True,46.2,63.84,56.0,71.68,True,pass_all,3.56424074074074,1.0724718809706573,76.23150617283952,27.38771173526238,0.0760769770423955,2.49,True,False,False,False,
5,2,6,2024-06-24,False,True,False,False,True,False,False,19.23,0.0,0.0,0.0,False,not_measured,2.783191176470589,1.1440250224840876,81.27007352941177,32.48962635572816,0.0902489620992448,1.76,False,False,False,True,
6,2,7,2024-06-24,False,True,False,False,True,False,False,32.18,0.0,0.0,0.0,False,not_measured,3.088168918918919,1.05444303503292,74.6871418918919,35.95521520371627,0.0998755977881007,2.49,False,False,False,True,
7,2,8,2024-06-25,False,True,False,False,True,False,False,0.77,0.0,0.0,0.0,False,not_measured,1.4445323741007197,0.3970631553124032,141.33770503597125,29.12427458237153,0.0809007627288098,1.39,False,False,False,True,
8,2,9,2024-06-25,False,True,False,False,True,False,False,1.95,0.0,0.0,0.0,False,not_measured,1.663948905109489,0.6520497130223039,132.96164963503648,45.641237577582565,0.1267812154932849,1.56,False,False,False,True,
9,2,10,2024-06-25,False,True,False,False,True,False,False,8.2,0.0,0.0,0.0,False,not_measured,2.522943661971831,0.7635531515508481,135.32766197183096,27.3455825551692,0.0759599515421366,1.85,False,False,False,True,
10,2,11,2024-06-25,False,True,True,True,True,True,True,32.1,25.73,25.66,25.8,True,pass_all,3.353020547945205,0.8853950099886497,93.24657534246576,31.51727933812302,0.0875479981614528,2.47,True,False,False,False,
11,2,12,2024-06-25,False,True,True,True,True,True,True,50.42,47.21,38.06,56.36,True,pass_all,3.828572413793104,0.9421291913122134,78.46044827586206,30.168518250018643,0.0838014395833851,2.78,True,False,False,False,
12,2,13,2024-06-25,False,True,True,True,True,True,True,21.7,22.99,20.0,25.98,True,pass_all,2.835292517006802,0.9307801795348104,82.38674829931972,29.01436087958685,0.0805954468877412,2.24,True,False,False,False,
13,2,14,2024-06-25,False,True,True,True,True,True,True,54.95,57.82,42.73,72.91,True,pass_all,3.350978723404255,0.9528363108416674,71.71133333333333,24.85662223762745,0.0690461728822984,2.55,True,False,False,False,
14,2,15,2024-06-25,False,True,True,True,True,True,True,1.48,2.63,2.2,3.06,True,pass_all,3.3203121387283234,0.953720411301546,87.52398265895954,27.010392881482638,0.0750288691152295,2.53,True,False,False,False,
15,2,16,2024-06-26,False,True,False,False,True,False,False,1.62,0.0,0.0,0.0,False,not_measured,1.0321755725190838,0.4102036545033929,99.37093129770992,39.7125088355233,0.1103125245431202,0.8,False,False,False,True,
16,2,17,2024-06-26,False,True,False,False,True,False,False,1.33,0.0,0.0,0.0,False,not_measured,1.4074097222222222,0.5319094566884552,146.9405972222222,47.532176558102734,0.1320338237725075,1.12,False,False,False,True,
17,2,18,2024-06-26,False,True,False,False,True,False,False,9.71,0.0,0.0,0.0,False,not_measured,1.5774335664335664,0.5729161204913692,165.55723076923076,42.56751788900674,0.1182431052472409,1.34,False,False,False,True,
18,2,19,2024-06-26,False,True,False,False,False,False,False,4.83,,,,False,not_measured,2.086151724137931,0.716621649080625,127.74538620689658,37.5554922684528,0.1043208118568133,skipped,False,False,False,False,car not availible
19,2,20,2024-06-26,False,True,True,True,True,True,True,0.01,0.44,0.38,0.5,True,pass_all,2.207905660377359,0.8614429004818266,102.42933962264152,46.99909066595391,0.1305530296276497,1.7,True,False,False,False,
20,2,21,2024-06-26,False,True,True,True,True,True,True,44.02,31.1,26.8,35.4,True,pass_all,2.6945533333333334,0.9096962951916748,80.54934,34.86645841976523,0.0968512733882367,2.11,True,False,False,False,
21,2,22,2024-06-26,False,True,True,True,True,True,True,8.55,5.43,3.67,7.19,True,pass_all,3.0396164383561644,1.0302019839467973,71.87480821917809,26.367032980510498,0.0732417582791958,2.34,True,False,False,False,
22,2,23,2024-06-26,True,False,True,True,True,True,True,0.0,0.57,0.4099999999999999,0.73,True,pass_all,3.7944859154929578,1.021054841407611,51.37146478873239,18.43059972665393,0.0511961103518164,2.87,False,True,False,False,
23,2,24,2024-06-27,False,True,False,False,True,False,False,37.59,0.0,0.0,0.0,False,not_measured,2.658773333333333,0.7565235141567218,310.0491,14.413795594742105,0.0400383210965058,1.54,False,False,False,True,
24,2,25,2024-06-27,False,True,True,True,True,True,True,42.06,22.6,14.05,31.15,True,pass_all,3.5322237762237765,1.0131102815238338,285.26486013986016,21.82148228357295,0.0606152285654804,3.18,True,False,False,False,
25,2,26,2024-06-27,False,True,True,True,True,True,True,0.57,3.04,2.0700000000000003,4.01,True,pass_all,3.3701602564102573,0.9463078916320496,276.84071794871795,23.678665319826777,0.0657740703328521,2.65,True,False,False,False,
26,2,27,2024-06-27,False,True,False,False,True,False,False,8.55,0.0,0.0,0.0,False,not_measured,3.861631944444445,0.902162791711474,300.5999861111111,17.553266218262678,0.0487590728285074,1.97,False,False,False,True,
27,2,28,2024-06-27,False,True,True,True,True,True,True,13.91,16.38,11.939999999999998,20.82,True,pass_all,4.11600704225352,1.0227037902067473,301.6137464788732,17.302975827422465,0.0480638217428401,3.26,True,False,False,False,
28,2,29,2024-06-27,False,True,True,True,True,True,True,37.59,27.94,22.43,33.45,True,pass_all,4.228445205479452,0.7872632213786408,313.1603698630137,15.979900984732916,0.0443886138464803,4.42,True,False,False,False,
29,2,30,2024-06-27,False,True,True,True,True,True,True,81.3,91.95,72.6,111.3,True,pass_all,4.1649513888888885,0.9328989206885352,306.6812430555556,18.908503804159057,0.0525236216782196,3.87,True,False,False,False,
30,2,31,2024-06-27,False,True,True,True,True,True,True,1.44,1.06,0.79,1.33,True,pass_all,3.9618733333333336,0.793841829094239,307.7349133333333,16.617379266571348,0.046159386851587,2.37,True,False,False,False,
31,2,32,2024-06-28,False,True,False,False,True,False,False,2.98,0.0,0.0,0.0,False,not_measured,1.9623741007194244,0.4888482956255046,308.172690647482,20.24685517323112,0.0562412643700864,1.6,False,False,False,True,
32,2,33,2024-06-28,False,True,False,False,True,False,False,0.32,0.0,0.0,0.0,False,not_measured,1.404677685950413,0.5769756380598756,236.32622314049584,34.517066358789585,0.0958807398855266,1.41,False,False,False,True,
33,2,34,2024-06-28,False,True,False,False,True,False,False,189.0,0.0,0.0,0.0,False,not_measured,1.3576614173228347,0.4879299686360875,201.3531968503937,74.15372588423742,0.2059825719006595,0.99,False,False,False,True,
34,2,35,2024-06-28,False,True,False,False,True,False,False,19.23,0.0,0.0,0.0,False,not_measured,1.9786573426573424,0.5354514891678271,275.83693706293707,25.58086024708178,0.0710579451307827,1.41,False,False,False,True,
