,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd
0,1,2024-06-17,11:07:00,11:53:30,28.26,duplicate 1,1,2024-06-17 11:07:00,2024-06-17 11:53:30,3.882568493150685,0.9514976427936391,128.78281506849316,17.229718977909368,0.047860330494192686,0.5536720344165316
1,1,2024-06-17,12:05:00,12:51:00,0.66,,2,2024-06-17 12:05:00,2024-06-17 12:51:00,3.6689090909090907,1.075709460677005,91.2481958041958,28.110530841728064,0.07808480789368907,0.5592193105364234
2,1,2024-06-17,13:05:45,13:52:00,20.0,duplicate 2,3,2024-06-17 13:05:45,2024-06-17 13:52:00,2.862784722222222,1.0138208912254851,108.6169375,44.800996504940066,0.1244472125137224,0.5266247379043744
3,1,2024-06-17,14:00:00,14:48:30,8.28,duplicate 3,4,2024-06-17 14:00:00,2024-06-17 14:48:30,3.1313154362416107,1.1112321447642746,79.04834228187919,34.31336940324684,0.095314915009019,0.5331020497781385
4,1,2024-06-17,15:00:00,15:46:00,1.49,,5,2024-06-17 15:00:00,2024-06-17 15:46:00,3.016371428571429,1.0230887943830629,99.40842142857143,38.79412671000572,0.10776146308334922,0.5434917809105099
5,1,2024-06-17,16:00:00,16:47:30,16.46,,6,2024-06-17 16:00:00,2024-06-17 16:47:30,3.5120608108108113,1.0442145779064107,99.24814189189188,26.24483772214941,0.07290232700597057,0.5889197001649225
6,1,2024-06-17,16:57:05,17:48:30,56.7,,7,2024-06-17 16:57:05,2024-06-17 17:48:30,4.42474375,1.2009813610212443,83.39471875,24.326985847770306,0.06757496068825085,0.7206060840469728
7,1,2024-06-18,09:08:00,09:54:00,41.0,,8,2024-06-18 09:08:00,2024-06-18 09:54:00,1.9461172413793104,0.5678803608283697,226.05704137931036,22.922815721128725,0.06367448811424646,0.31275462702743406
8,1,2024-06-18,10:05:05,10:51:30,28.26,duplicate 1,9,2024-06-18 10:05:05,2024-06-18 10:51:30,1.5725147058823532,0.5493290450924064,169.215375,82.13683350299526,0.2281578708416535,0.3165016490184104
9,1,2024-06-18,11:03:00,11:49:00,4.45,,10,2024-06-18 11:03:00,2024-06-18 11:49:00,2.4359724137931034,1.0264673774706599,159.4326482758621,32.834990827726116,0.09120830785479477,0.3683774050054965
10,1,2024-06-18,12:00:30,12:46:30,8.28,duplicate 3,11,2024-06-18 12:00:30,2024-06-18 12:46:30,2.5479172413793107,0.9669720889876946,144.6211103448276,35.41822871055547,0.09838396864043185,0.3898450386261663
11,1,2024-06-18,13:00:00,13:46:00,47.66,,12,2024-06-18 13:00:00,2024-06-18 13:46:00,2.5858482758620687,1.039208989588786,138.32967586206897,37.89058204551024,0.10525161679308401,0.47349041518895163
12,1,2024-06-18,14:04:05,14:51:00,3.83,,13,2024-06-18 14:04:05,2024-06-18 14:51:00,2.247241379310345,0.7721315489159977,83.74419310344827,37.335437626579505,0.10370954896272085,0.4673759514045506
13,1,2024-06-18,15:05:45,15:33:00,1.95,ex N° 2024W25/17-08,14,2024-06-18 15:05:45,2024-06-18 15:33:00,3.455894117647059,1.1407810192554737,55.46843529411765,23.428922803294682,0.06508034112026301,0.4846661780792155
