,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd
14,1,2024-06-18,15:38:00,16:25:00,126.0,satellite,15,2024-06-18 15:38:00,2024-06-18 16:25:00,2.7539932885906033,0.9283976787749163,61.42969127516779,29.431761505953897,0.08175489307209416,0.48519623219896546
15,1,2024-06-18,16:41:00,17:35:15,4.46,,16,2024-06-18 16:41:00,2024-06-18 17:35:15,3.23053216374269,0.8677565075021619,70.77632748538012,22.66450017991722,0.0629569449442145,0.47568104873438444
16,1,2024-06-19,09:00:50,09:47:10,16.95,,17,2024-06-19 09:00:50,2024-06-19 09:47:10,2.106514285714286,0.5193506527519481,297.48515,14.278484667341568,0.039662457409282134,0.37767222765005226
17,1,2024-06-19,10:00:45,10:49:10,1.92,,18,2024-06-19 10:00:45,2024-06-19 10:49:10,3.815193333333333,0.9121833215071377,293.4506266666667,16.930464279324443,0.0470290674425679,0.641428487640515
18,1,2024-06-19,11:01:45,11:48:00,115.0,,19,2024-06-19 11:01:45,2024-06-19 11:48:00,3.754553191489362,1.021239760749732,293.8791843971631,19.032001288090694,0.05286667024469637,0.6469857823285389
19,1,2024-06-19,12:00:30,12:47:00,0.0,,20,2024-06-19 12:00:30,2024-06-19 12:47:00,3.3152758620689657,1.0811906919043173,289.41551034482757,21.653175165560143,0.06014770879322262,0.5984263085295476
20,1,2024-06-19,13:02:20,13:48:10,38.52,,21,2024-06-19 13:02:20,2024-06-19 13:48:10,4.259503496503496,1.01619670571499,281.5407202797203,17.660564613036854,0.04905712392510237,0.6913979375338174
21,1,2024-06-19,14:01:15,14:50:30,5.6,,22,2024-06-19 14:01:15,2024-06-19 14:50:30,3.7088266666666656,0.9121023928940448,304.1949933333333,17.34810732643079,0.0481891870178633,0.686755300408011
22,1,2024-06-19,15:02:00,15:48:00,103.2,,23,2024-06-19 15:02:00,2024-06-19 15:48:00,3.5305138888888887,0.7086031564791279,277.92168055555555,14.097958511428967,0.03916099586508046,0.5469215671927444
23,1,2024-06-19,16:02:15,16:50:00,8.28,,24,2024-06-19 16:02:15,2024-06-19 16:50:00,2.395375838926175,0.7993187173116433,259.5794026845638,19.510126988071775,0.05419479718908826,0.3837780532340113
24,1,2024-06-20,09:00:00,09:47:30,13.59,,25,2024-06-20 09:00:00,2024-06-20 09:47:30,2.973695652173913,1.3050209832789736,186.21108695652177,22.895989924311145,0.0635999720119754,0.4378391771787274
25,1,2024-06-20,10:03:05,10:49:00,24.01,,26,2024-06-20 10:03:05,2024-06-20 10:49:00,3.9906842105263163,0.7367778990405587,149.32542105263158,22.364261341377105,0.06212294817049196,0.38586773296476645
26,1,2024-06-20,11:00:30,11:51:30,16.92,,27,2024-06-20 11:00:30,2024-06-20 11:51:30,1.3514,1.0981810951054742,104.50534285714286,55.11930722915111,0.15310918674764198,0.23179507000010427
27,1,2024-06-20,12:03:00,12:51:00,43.49,,28,2024-06-20 12:03:00,2024-06-20 12:51:00,2.267808333333334,0.7398548721626054,89.64070833333332,30.78779545283645,0.0855216540356568,0.3262461693632718
28,1,2024-06-20,13:07:00,13:53:05,5.63,,29,2024-06-20 13:07:00,2024-06-20 13:53:05,4.11848275862069,2.736354177951407,140.26893103448276,59.50689259692966,0.16529692388036016,0.4300968289329102
29,1,2024-06-20,14:08:00,14:56:00,20.0,duplicate 2,30,2024-06-20 14:08:00,2024-06-20 14:56:00,2.691326530612245,2.2128765346993786,102.09977551020408,46.36711183330859,0.12879753287030166,0.36357376178878686
30,1,2024-06-20,15:14:10,16:30:00,101.8,satellite,31,2024-06-20 15:14:10,2024-06-20 16:30:00,4.710058823529412,1.9003788608108532,143.25479411764707,48.80033699798985,0.1355564916610829,0.4329621243634361
31,1,2024-06-20,16:18:00,17:05:30,13.0,,32,2024-06-20 16:18:00,2024-06-20 17:05:30,5.388210526315789,2.520401964831698,158.28763157894736,45.239911000815646,0.12566641944671011,0.49228131860234703
32,1,2024-06-21,09:00:15,09:47:30,1.1,,33,2024-06-21 09:00:15,2024-06-21 09:47:30,3.491664383561644,1.2203124375361745,277.2558287671233,18.554463856669997,0.05154017737963888,0.6294135766929797
33,1,2024-06-21,10:02:45,10:49:00,27.84,,34,2024-06-21 10:02:45,2024-06-21 10:49:00,4.420659722222222,1.2630254118954332,261.54203472222224,14.806562383877745,0.041129339955215956,0.7720580314119696
34,1,2024-06-21,11:04:00,11:56:30,5.38,,35,2024-06-21 11:04:00,2024-06-21 11:56:30,3.617985815602837,1.120452580661784,261.3182340425532,18.631494996547417,0.05175415276818727,0.5482406271252751
35,1,2024-06-21,12:10:00,13:04:00,0.0,satellite,36,2024-06-21 12:10:00,2024-06-21 13:04:00,4.858614864864865,1.835909507957891,269.1702837837838,21.97747153381276,0.06104853203836878,0.7320763922322628
36,1,2024-06-21,13:13:30,14:01:20,40.63,,37,2024-06-21 13:13:30,2024-06-21 14:01:20,4.705443609022557,1.1186007047059707,261.39533082706765,14.138877560798285,0.039274659891106345,0.8461833471652533
37,1,2024-06-21,14:12:00,15:05:00,0.01,,38,2024-06-21 14:12:00,2024-06-21 15:05:00,3.762701863354038,1.0986444081498827,269.5151055900621,24.586575565085486,0.06829604323634857,0.7436012623489312
38,1,2024-06-21,15:15:20,16:06:00,15.15,,39,2024-06-21 15:15:20,2024-06-21 16:06:00,5.625929936305732,1.3815974408811544,269.3876242038217,14.326081789443059,0.03979467163734183,0.9399358653591262
39,1,2024-06-21,16:29:30,17:19:40,3.95,,40,2024-06-21 16:29:30,2024-06-21 17:19:40,4.643756410256411,1.1632506199428192,281.31352564102565,15.933286701567466,0.04425912972657629,0.8922031294054387
