,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd
0,4,2024-09-16,11:00:00,11:46:10,0.57,,1,2024-09-16 11:00:00,2024-09-16 11:46:10,1.8377769784172664,0.7719390796264768,117.00691366906474,31.969636571590236,0.0888045460321951,0.3425625384711593
1,4,2024-09-16,11:59:00,12:47:00,56.7,,2,2024-09-16 11:59:00,2024-09-16 12:47:00,2.3282517482517484,0.8150086275230851,153.14233566433566,52.089826369813494,0.14469396213837082,0.3810977095141363
2,4,2024-09-16,12:59:00,13:45:00,11.17,,3,2024-09-16 12:59:00,2024-09-16 13:45:00,2.6846619718309856,0.9659190375255269,284.10807042253526,40.3051486154994,0.111958746154165,0.4434027236875737
3,4,2024-09-16,13:59:30,14:46:00,28.71,doublon 1,4,2024-09-16 13:59:30,2024-09-16 14:46:00,2.4931134751773047,0.8928645721352513,270.2587092198582,39.89171074329978,0.11081030762027717,0.43181385479397055
4,4,2024-09-16,14:59:00,15:45:00,21.64,,5,2024-09-16 14:59:00,2024-09-16 15:45:00,3.3790275862068966,0.8468344727476064,308.8812896551724,23.31724751611621,0.0647701319892117,0.5048771892337172
5,4,2024-09-16,15:59:00,16:45:00,9.23,,6,2024-09-16 15:59:00,2024-09-16 16:45:00,3.2057793103448278,0.8157925038213992,299.7503103448276,25.86230333998245,0.07183973149995125,0.4375309765877051
6,4,2024-09-17,09:00:30,09:46:00,0.9,,7,2024-09-17 09:00:30,2024-09-17 09:46:00,1.1889146341463417,0.49166028121953964,140.85280487804877,38.37111431790636,0.10658642866085101,0.18360850555256752
7,4,2024-09-17,09:59:00,10:46:00,7.3,,8,2024-09-17 09:59:00,2024-09-17 10:46:00,1.3289776119402987,0.42210283581881364,288.46114179104484,28.007165478797756,0.07779768188554932,0.23754026012062301
8,4,2024-09-17,10:59:00,11:50:00,79.2,,9,2024-09-17 10:59:00,2024-09-17 11:50:00,0.9248962962962963,0.37374181514672034,248.26067407407407,66.03927764139286,0.18344243789275794,0.23995152878361148
9,4,2024-09-17,11:59:30,12:49:30,5.5,,10,2024-09-17 11:59:30,2024-09-17 12:49:30,1.150692913385827,0.4410247178727947,222.57018897637798,59.247954620588146,0.16457765172385597,0.2837132657701251
10,4,2024-09-17,13:00:00,13:46:30,0.0,,11,2024-09-17 13:00:00,2024-09-17 13:46:30,2.3387142857142855,0.7261983388835727,251.65584353741497,40.25403652548622,0.11181676812635061,0.38801285926204915
11,4,2024-09-17,13:58:30,14:45:00,54.0,,12,2024-09-17 13:58:30,2024-09-17 14:45:00,1.5897664233576643,0.5898268223257634,239.18820437956205,43.642718062571426,0.12122977239603173,0.30526496043230306
12,4,2024-09-17,14:58:00,15:44:00,0.02,Incertitude: 0.6,13,2024-09-17 14:58:00,2024-09-17 15:44:00,1.3606015037593984,0.5128063007792842,255.45348120300747,42.6359622627818,0.11843322850772722,0.2983609922626685
