,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
0,3,2024-09-09,11:02:30,11:50:10,56.7,,1,2024-09-09 11:02:30,2024-09-09 11:50:10,3.32510606060606,0.9342103679397066,209.37825,16.235471522149506,0.0450985320059708,0.5733646471391511,1
1,3,2024-09-09,12:05:00,12:52:30,31.36,doublon 1,2,2024-09-09 12:05:00,2024-09-09 12:52:30,3.665751937984496,1.4656379318779575,203.16287596899227,43.32016085596687,0.1203337801554635,0.53842508084484,2
2,3,2024-09-09,13:23:55,14:16:00,5.57,,3,2024-09-09 13:23:55,2024-09-09 14:16:00,2.65220987654321,0.583478319620417,195.56804938271608,15.724319086048055,0.0436786641279112,0.4192416322730813,3
3,3,2024-09-09,14:30:30,15:20:45,0.0,,4,2024-09-09 14:30:30,2024-09-09 15:20:45,2.545805369127517,0.5945058097351241,226.7112483221476,23.113998230249013,0.0642055506395806,0.4269086258346158,4
4,3,2024-09-09,15:25:15,16:15:40,0.18,Incertitude : 3.8,5,2024-09-09 15:25:15,2024-09-09 16:15:40,5.05122435897436,1.3532700828290822,259.16267948717945,16.782825590417104,0.0466189599733808,0.8678274336099527,5
5,3,2024-09-09,16:42:00,17:36:30,13.38,doublon 2,6,2024-09-09 16:42:00,2024-09-09 17:36:30,4.017156862745098,1.158546844552119,270.231,30.49719997285666,0.0847144443690462,0.6988685893193153,6
6,3,2024-09-10,08:45:00,09:31:00,0.92,,7,2024-09-10 08:45:00,2024-09-10 09:31:00,0.9421666666666668,0.2869655067510671,171.35273684210526,27.43851166342531,0.0762180879539592,0.152450938952866,7
7,3,2024-09-10,09:45:15,10:31:00,2.02,,8,2024-09-10 09:45:15,2024-09-10 10:31:00,0.9199272727272728,0.3736050927174579,230.20847272727272,56.673763515336894,0.1574271208759358,0.206850203872568,8
8,3,2024-09-10,10:40:00,11:26:00,79.19999999999997,,9,2024-09-10 10:40:00,2024-09-10 11:26:00,1.5387089552238806,0.5648104189840032,270.7512164179104,33.95970658084065,0.0943325182801129,0.3149454222196926,9
9,3,2024-09-10,11:45:00,12:31:00,17.8,alternative satellite,10,2024-09-10 11:45:00,2024-09-10 12:31:00,2.7916965517241383,0.8571267273420762,298.62366896551725,24.60842282700867,0.068356730075024,0.3953104474607657,10
10,3,2024-09-10,12:44:00,13:36:30,6.77,,11,2024-09-10 12:44:00,2024-09-10 13:36:30,2.6925246913580247,1.0440375055768571,257.6336913580247,32.585024089464184,0.0905139558040671,0.4387306865753256,11
11,3,2024-09-10,13:44:15,14:30:00,1.85,,12,2024-09-10 13:44:15,2024-09-10 14:30:00,3.178636363636364,0.8974163741137827,289.6772027972028,18.352046323875367,0.0509779064552093,0.4674948443640292,12
12,3,2024-09-10,14:44:00,15:30:00,28.16,,13,2024-09-10 14:44:00,2024-09-10 15:30:00,4.597331034482759,1.362056100243572,306.64595172413794,19.06789455336061,0.052966373759335,0.7334589565383101,13
13,3,2024-09-10,15:44:00,16:30:00,4.47,,14,2024-09-10 15:44:00,2024-09-10 16:30:00,4.797862068965518,1.2361782538482693,300.1787931034483,17.29821498441926,0.0480505971789423,0.7199480469886943,14
14,3,2024-09-10,16:46:00,17:36:00,0.45,,15,2024-09-10 16:46:00,2024-09-10 17:36:00,4.765207547169811,1.1433138215845309,305.4722327044025,20.95714322036033,0.0582142867232231,0.7388527723773983,15
