,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd
0,2,2024-06-24,11:08:45,11:55:00,0.59,,1,2024-06-24 11:08:45,2024-06-24 11:55:00,2.3708581560283686,0.8241538481684479,146.06929078014187,39.224809143484585,0.10895780317634607,0.48276548367513467
1,2,2024-06-24,12:00:00,12:45:00,136.6,satellite,2,2024-06-24 12:00:00,2024-06-24 12:45:00,2.418187050359712,0.8952530981159262,122.19275539568346,43.157703441227056,0.11988250955896404,0.5259391429298168
2,2,2024-06-24,13:02:00,13:45:00,24.83,,3,2024-06-24 13:02:00,2024-06-24 13:45:00,2.6951044776119404,1.0977308945374116,94.59223134328357,38.81467753270214,0.10781854870195039,0.5975252123485919
3,2,2024-06-24,14:01:25,14:48:30,0.89,,4,2024-06-24 14:01:25,2024-06-24 14:48:30,3.169401360544218,1.0509779898107425,94.17029931972789,28.067623860017783,0.07796562183338272,0.6556719335078206
4,2,2024-06-24,15:01:15,15:53:30,46.2,,5,2024-06-24 15:01:15,2024-06-24 15:53:30,3.56424074074074,1.0724718809706573,76.23150617283952,27.38771173526238,0.0760769770423955,0.6384485255238533
5,2,2024-06-24,16:05:15,16:51:00,19.23,duplicate 1,6,2024-06-24 16:05:15,2024-06-24 16:51:00,2.783191176470589,1.1440250224840876,81.27007352941177,32.489626355728156,0.09024896209924488,0.4959417349544545
6,2,2024-06-24,17:00:15,17:49:00,32.18,,7,2024-06-24 17:00:15,2024-06-24 17:49:00,3.088168918918919,1.05444303503292,74.6871418918919,35.95521520371627,0.09987559778810075,0.6162800790232543
7,2,2024-06-25,09:02:00,09:48:00,0.77,,8,2024-06-25 09:02:00,2024-06-25 09:48:00,1.4445323741007197,0.3970631553124032,141.33770503597123,29.124274582371534,0.08090076272880982,0.2459792881636526
8,2,2024-06-25,10:03:00,10:49:00,1.95,,9,2024-06-25 10:03:00,2024-06-25 10:49:00,1.663948905109489,0.6520497130223039,132.96164963503648,45.641237577582565,0.12678121549328492,0.27984649174877785
9,2,2024-06-25,11:05:00,11:51:00,8.2,,10,2024-06-25 11:05:00,2024-06-25 11:51:00,2.522943661971831,0.7635531515508481,135.32766197183096,27.345582555169198,0.07595995154213667,0.40255088033285175
10,2,2024-06-25,12:05:00,12:51:15,32.1,,11,2024-06-25 12:05:00,2024-06-25 12:51:15,3.353020547945205,0.8853950099886497,93.24657534246575,31.51727933812302,0.08754799816145284,0.5124163743124495
11,2,2024-06-25,13:35:00,14:21:00,50.42,,12,2024-06-25 13:35:00,2024-06-25 14:21:00,3.8285724137931036,0.9421291913122134,78.46044827586206,30.168518250018643,0.08380143958338512,0.5589736919054857
12,2,2024-06-25,14:35:00,15:22:00,21.7,,13,2024-06-25 14:35:00,2024-06-25 15:22:00,2.8352925170068026,0.9307801795348105,82.38674829931972,29.014360879586846,0.08059544688774124,0.5258531691392613
13,2,2024-06-25,15:33:00,16:19:00,54.95,,14,2024-06-25 15:33:00,2024-06-25 16:19:00,3.350978723404255,0.9528363108416674,71.71133333333333,24.856622237627455,0.06904617288229849,0.5771784112243751
14,2,2024-06-25,16:39:00,17:34:30,1.48,,15,2024-06-25 16:39:00,2024-06-25 17:34:30,3.3203121387283234,0.953720411301546,87.52398265895954,27.010392881482634,0.07502886911522953,0.5247861627183403
15,2,2024-06-26,08:55:00,09:43:00,1.62,,16,2024-06-26 08:55:00,2024-06-26 09:43:00,1.0321755725190838,0.4102036545033929,99.37093129770993,39.7125088355233,0.11031252454312028,0.23616893640739378
16,2,2024-06-26,10:01:00,10:52:00,1.33,,17,2024-06-26 10:01:00,2024-06-26 10:52:00,1.4074097222222222,0.5319094566884552,146.9405972222222,47.532176558102734,0.13203382377250758,0.33080920190647445
17,2,2024-06-26,11:00:00,11:50:00,9.71,,18,2024-06-26 11:00:00,2024-06-26 11:50:00,1.5774335664335664,0.5729161204913692,165.55723076923076,42.567517889006744,0.11824310524724095,0.38630827303592585
18,2,2024-06-26,13:03:10,13:51:10,4.83,,19,2024-06-26 13:03:10,2024-06-26 13:51:10,2.086151724137931,0.716621649080625,127.74538620689658,37.5554922684528,0.10432081185681334,0.4792514085177805
19,2,2024-06-26,14:00:00,14:52:20,0.01,,20,2024-06-26 14:00:00,2024-06-26 14:52:20,2.207905660377359,0.8614429004818266,102.42933962264152,46.99909066595391,0.13055302962764975,0.5277531042741253
20,2,2024-06-26,15:01:20,15:49:30,44.02,,21,2024-06-26 15:01:20,2024-06-26 15:49:30,2.6945533333333334,0.9096962951916748,80.54934,34.86645841976523,0.09685127338823675,0.5380368161011054
21,2,2024-06-26,16:03:00,16:50:00,8.55,duplicate 2,22,2024-06-26 16:03:00,2024-06-26 16:50:00,3.0396164383561644,1.0302019839467973,71.87480821917809,26.367032980510498,0.07324175827919582,0.5682280771985365
22,2,2024-06-26,17:01:00,17:47:00,0.0,,23,2024-06-26 17:01:00,2024-06-26 17:47:00,3.7944859154929578,1.021054841407611,51.37146478873239,18.430599726653934,0.05119611035181648,0.6198582654213998
23,2,2024-06-27,08:56:00,09:44:00,37.59,duplicate 3,24,2024-06-27 08:56:00,2024-06-27 09:44:00,2.6587733333333334,0.7565235141567218,310.0491,14.413795594742105,0.04003832109650585,0.46957041305945824
24,2,2024-06-27,10:09:00,10:55:00,42.06,,25,2024-06-27 10:09:00,2024-06-27 10:55:00,3.5322237762237765,1.0131102815238338,285.26486013986016,21.82148228357295,0.06061522856548042,0.5571866004365084
25,2,2024-06-27,11:06:00,11:56:30,0.57,,26,2024-06-27 11:06:00,2024-06-27 11:56:30,3.3701602564102573,0.9463078916320496,276.84071794871795,23.678665319826777,0.06577407033285215,0.5862823190690707
26,2,2024-06-27,12:09:00,12:55:00,8.55,duplicate 2,27,2024-06-27 12:09:00,2024-06-27 12:55:00,3.861631944444445,0.902162791711474,300.5999861111111,17.553266218262678,0.04875907282850744,0.5138263431112373
27,2,2024-06-27,13:29:00,14:15:00,13.91,,28,2024-06-27 13:29:00,2024-06-27 14:15:00,4.11600704225352,1.0227037902067473,301.6137464788732,17.302975827422465,0.04806382174284018,0.5889902836850912
28,2,2024-06-27,14:35:00,15:22:00,37.59,duplicate 3,29,2024-06-27 14:35:00,2024-06-27 15:22:00,4.228445205479452,0.7872632213786408,313.1603698630137,15.979900984732916,0.044388613846480324,0.5083799254211181
29,2,2024-06-27,15:33:15,16:19:15,81.3,satellite,30,2024-06-27 15:33:15,2024-06-27 16:19:15,4.1649513888888885,0.9328989206885351,306.68124305555557,18.908503804159057,0.052523621678219605,0.6402957018598067
30,2,2024-06-27,16:35:30,17:24:05,1.44,,31,2024-06-27 16:35:30,2024-06-27 17:24:05,3.9618733333333336,0.793841829094239,307.7349133333333,16.617379266571348,0.046159386851587075,0.5266145642993265
31,2,2024-06-28,09:00:00,09:47:30,2.98,,32,2024-06-28 09:00:00,2024-06-28 09:47:30,1.9623741007194244,0.4888482956255046,308.172690647482,20.24685517323112,0.05624126437008644,0.3259292408977792
32,2,2024-06-28,10:10:40,10:56:00,0.32,Incertitude : 7.2,33,2024-06-28 10:10:40,2024-06-28 10:56:00,1.4046776859504133,0.5769756380598756,236.32622314049584,34.517066358789585,0.09588073988552662,0.2649806769811331
33,2,2024-06-28,11:02:30,11:49:15,189.0,satellite,34,2024-06-28 11:02:30,2024-06-28 11:49:15,1.3576614173228347,0.4879299686360875,201.3531968503937,74.15372588423742,0.2059825719006595,0.2949279238582404
34,2,2024-06-28,12:03:30,12:51:00,19.23,duplicate 1,35,2024-06-28 12:03:30,2024-06-28 12:51:00,1.9786573426573426,0.5354514891678271,275.83693706293707,25.58086024708178,0.07105794513078273,0.2754154793323967
