,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
1,56.7,0,40.6836019024949,11.945318889966998,11.945318889966998
2,11.17,0,15.3836803110501,4.731440705279631,4.731440705279631
4,21.64,0,25.7201499533843,5.330821600900869,5.330821600900869
9,5.5,0,17.4301395600557,3.89505630324115,3.895056303241148
17,52.94,0,16.04999,14.939139,14.939138999999997
19,8.25,0,1.60841236132621,1.60841236132621,1.7877316128241703
21,290.0,0,104.850587,45.331521,45.331520999999995
29,80.1,0,85.0621934513442,22.0119035074132,22.011903507413194
31,26.4,0,27.6828028858333,7.97328931167301,7.97328931167301
