,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
16,16.95,0,6.25,1.46,1.46
18,115.0,0,50.27,12.010000000000005,12.009999999999998
20,38.52,0,25.81,4.139999999999997,4.140000000000001
22,103.2,0,52.73,14.809999999999995,14.82
27,43.49,0,10.27,4.75,4.74
33,27.84,0,11.39,5.32,5.32
37,0.01,0,0.13,0.13,0.14
39,3.95,0,3.18,1.0,0.9999999999999996
